,ds,y
347,2014-06-13,386799040
348,2014-06-14,229916191
349,2014-06-15,116623756
350,2014-06-16,492349489
351,2014-06-17,502560223
352,2014-06-18,421920230
353,2014-06-19,284956260
354,2014-06-20,286583065
355,2014-06-21,231003775
356,2014-06-22,361285652
357,2014-06-23,373779624
358,2014-06-24,428471509
359,2014-06-25,547295931
360,2014-06-26,418742109
361,2014-06-27,399444352
362,2014-06-28,283400236
363,2014-06-29,261170799
364,2014-06-30,456547794
365,2014-07-01,374164541
366,2014-07-02,328950951
367,2014-07-03,289009780
368,2014-07-04,264494550
369,2014-07-05,272535138
370,2014-07-06,195530758
371,2014-07-07,317612569
372,2014-07-08,340453063
373,2014-07-09,269642881
374,2014-07-10,326009240
375,2014-07-11,240050748
376,2014-07-12,149081488
377,2014-07-13,199459990
378,2014-07-14,284753279
379,2014-07-15,261722182
380,2014-07-16,234775948
381,2014-07-17,298279385
382,2014-07-18,208671287
383,2014-07-19,155464283
384,2014-07-20,174462836
385,2014-07-21,434191479
386,2014-07-22,369043423
387,2014-07-23,308353077
388,2014-07-24,347622431
389,2014-07-25,262874791
390,2014-07-26,282653341
391,2014-07-27,166610652
392,2014-07-28,345986909
393,2014-07-29,303480103
394,2014-07-30,250117716
395,2014-07-31,277194379
396,2014-08-01,252540858
397,2014-08-02,172250225
398,2014-08-03,127125217
399,2014-08-04,322907524
400,2014-08-05,221706539
401,2014-08-06,282346594
402,2014-08-07,253659514
403,2014-08-08,311648757
404,2014-08-09,163611708
405,2014-08-10,189909225
406,2014-08-11,418603336
407,2014-08-12,309754858
408,2014-08-13,303975517
409,2014-08-14,211939431
410,2014-08-15,236516007
411,2014-08-16,219214339
412,2014-08-17,139564084
413,2014-08-18,259169016
414,2014-08-19,254929877
415,2014-08-20,202452782
416,2014-08-21,219963356
417,2014-08-22,179349206
418,2014-08-23,199377531
419,2014-08-24,191080151
420,2014-08-25,312413411
421,2014-08-26,285478563
422,2014-08-27,468164147
423,2014-08-28,297893861
424,2014-08-29,273756380
425,2014-08-30,196374134
426,2014-08-31,292943033
